       mouse_id                                name  condition
0    AAA1110750                FC_210322_AAA1110750      naive
1    AAA1110750               FC_210322_AAA1110750t      naive
2    AAA1110750             FC_210323_AAA1110750_d1      naive
3    AAA1110750             FC_210324_AAA1110750_d1      naive
4    AAA1110750          FC_210324_AAA1110750_d1_p2      naive
5    AAA1110750             FC_210325_AAA1110750_d2      naive
6    AAA1110750          FC_210325_AAA1110750_d2_p2      naive
7    AAA1110750             FC_210326_AAA1110750_d3      naive
8    AAA1110750             FC_210327_AAA1110750_d4      naive
9    AAA1110750             FC_210331_AAA1110750_d5      naive
10   AAA1110750             FC_210401_AAA1110750_d6      naive
11   AAA1110750             FC_210402_AAA1110750_d7      naive
12   AAA1110750             FC_210405_AAA1110750_d8      naive
13   AAA1110750           FC_210405_AAA1110750_d8_t      naive
14   AAA1110750           FC_210408_AAA1110750_d8_t      naive
15   AAA1110750             FC_210408_AAA1110750_d9      naive
16   AAA1110750            FC_210412_AAA1110750_d10      naive
17   AAA1110750          FC_210412_AAA1110750_d10_t      naive
18   AAA1110750            FC_210413_AAA1110750_d11      naive
19   AAA1110750          FC_210413_AAA1110750_d11_t      naive
20   AAA1110750         FC_210413_AAA1110750_d11_t2      naive
21   AAA1110750            FC_210420_AAA1110750_d12      naive
22   AAA1110750            FC_210427_AAA1110750_d13      naive
23   AAA1110750            FC_210430_AAA1110750_d14      naive
24   AAA1110750            FC_210506_AAA1110750_d15      naive
25   AAA1110750            FC_210512_AAA1110750_d16      naive
26   AAA1110750            FC_210514_AAA1110750_d17      naive
27   AAA1110750            FC_210514_AAA1110750_d18      naive
28   AAA1110750            FC_210528_AAA1110750_d19      naive
29   AAA1110750            FC_210616_AAA1110750_d24      naive
30   AAA1110750         FC_210710_AAA1110750_d24_r1  implanted
31   AAA1110750       FC_210710_AAA1110750_d24_r1_b  implanted
32   AAA1110750       FC_210710_AAA1110750_d24_r1_c  implanted
33   AAA1110750       FC_210710_AAA1110750_d24_r1_d  implanted
34   AAA1110750             FC_210712_AAA1110750_r2  implanted
35   AAA1110750           FC_210712_AAA1110750_r2_b  implanted
36   AAA1110750  FC_210712_AAA1110750_r2_openaarena  implanted
37   AAA1110750   FC_210712_AAA1110750_r2_openarena  implanted
38   AAA1110750     FC_210713_AAA1110750_r3_hairpin  implanted
39   AAA1110750  FC_210713_AAA1110750_r3_openaarena  implanted
40   AAA1110750   FC_210713_AAA1110750_r3_openarena  implanted
41   AAA1110750     FC_210714_AAA1110750_r4_hairpin  implanted
42   AAA1110750  FC_210714_AAA1110750_r4_openaarena  implanted
43   AAA1110750   FC_210714_AAA1110750_r4_openarena  implanted
44   AAA1110750     FC_210715_AAA1110750_r5_hairpin  implanted
45   AAA1110750     FC_210716_AAA1110750_r6_hairpin  implanted
46   AAA1110750        FC_210720_AAA1110750_hairpin  implanted
47   AAA1110750      FC_210720_AAA1110750_openarena  implanted
48   AAA1110750        FC_210721_AAA1110750_hairpin  implanted
49   AAA1110750        FC_210722_AAA1110750_hairpin  implanted
50   AAA1110750      FC_210722_AAA1110750_openarena  implanted
51   AAA1110750         FC_210723_AAA1110750_escape  implanted
52   AAA1110750      FC_210723_AAA1110750_escape_t3  implanted
53   AAA1110750      FC_210723_AAA1110750_escape_t4  implanted
54   AAA1110750      FC_210723_AAA1110750_escape_t5  implanted
55   AAA1110750      FC_210723_AAA1110750_escape_t6  implanted
56   AAA1110750        FC_210723_AAA1110750_hairpin  implanted
57   AAA1110751                FC_210322_AAA1110751      naive
58   AAA1110751             FC_210323_AAA1110751_d1      naive
59   AAA1110751             FC_210324_AAA1110751_d1      naive
60   AAA1110751             FC_210325_AAA1110751_d2      naive
61   AAA1110751             FC_210326_AAA1110751_d3      naive
62   AAA1110751             FC_210327_AAA1110751_d4      naive
63   AAA1110751             FC_210331_AAA1110751_d5      naive
64   AAA1110751             FC_210401_AAA1110751_d6      naive
65   AAA1110751             FC_210402_AAA1110751_d7      naive
66   AAA1110751             FC_210405_AAA1110751_d8      naive
67   AAA1110751             FC_210408_AAA1110751_d9      naive
68   AAA1110751            FC_210412_AAA1110751_d10      naive
69   AAA1110751            FC_210413_AAA1110751_d11      naive
70   AAA1110751            FC_210420_AAA1110751_d12      naive
71   AAA1110751            FC_210427_AAA1110751_d13      naive
72   AAA1110751            FC_210430_AAA1110751_d14      naive
73   AAA1110751            FC_210506_AAA1110751_d15      naive
74   AAA1110751            FC_210512_AAA1110751_d16      naive
75   AAA1110751            FC_210514_AAA1110751_d17      naive
76   AAA1110751            FC_210514_AAA1110751_d18      naive
77   AAA1110751            FC_210528_AAA1110751_d19  implanted
78   AAA1110751            FC_210601_AAA1110751_d20  implanted
79   AAA1110751            FC_210602_AAA1110751_d21  implanted
80   AAA1110751           FC_210602_AAA1110751_d21b  implanted
81   AAA1110751           FC_210603_AAA1110751_d22r  implanted
82   AAA1110751            FC_210604_AAA1110751_d23  implanted
83   AAA1110751     FC_210713_AAA1110751_r3_hairpin  implanted
84   AAA1110751     FC_210714_AAA1110751_r4_hairpin  implanted
85   AAA1110751     FC_210715_AAA1110751_r5_hairpin  implanted
86   AAA1110751     FC_210716_AAA1110751_r6_hairpin  implanted
87   AAA1110751        FC_210720_AAA1110751_hairpin  implanted
88   AAA1110751        FC_210721_AAA1110751_hairpin  implanted
89   AAA1110751        FC_210722_AAA1110751_hairpin  implanted
90   AAA1110752                FC_210322_AAA1110752      naive
91   AAA1110752             FC_210323_AAA1110752_d1      naive
92   AAA1110752             FC_210324_AAA1110752_d1      naive
93   AAA1110752             FC_210325_AAA1110752_d2      naive
94   AAA1110752             FC_210326_AAA1110752_d3      naive
95   AAA1110752             FC_210327_AAA1110752_d4      naive
96   AAA1110752             FC_210331_AAA1110752_d5      naive
97   AAA1110752             FC_210401_AAA1110752_d6      naive
98   AAA1110752             FC_210402_AAA1110752_d7      naive
99   AAA1110752             FC_210405_AAA1110752_d8      naive
100  AAA1110752             FC_210408_AAA1110752_d9      naive
101  AAA1110752            FC_210412_AAA1110752_d10      naive
102  AAA1110752            FC_210413_AAA1110752_d11      naive
103  AAA1110752            FC_210420_AAA1110752_d12      naive
104  AAA1110752            FC_210427_AAA1110752_d13      naive
105  AAA1110752            FC_210430_AAA1110752_d14      naive
106  AAA1110752            FC_210506_AAA1110752_d15      naive
107  AAA1110752            FC_210512_AAA1110752_d16      naive
108  AAA1110752            FC_210514_AAA1110752_d17      naive
109  AAA1110752            FC_210514_AAA1110752_d18      naive
110  AAA1110752            FC_210528_AAA1110752_d19      naive
111  AAA1110752            FC_210616_AAA1110752_d24      naive
112  AAA1110752           FC_210616_AAA1110752_d24b      naive
113  AAA1110757             FC_210420_AAA1110757_d0      naive
114  AAA1110757             FC_210421_AAA1110757_d1      naive
115  AAA1110757             FC_210422_AAA1110757_d2      naive
116  AAA1110757           FC_210422_AAA1110757_d2_b      naive
117  AAA1110757             FC_210423_AAA1110757_d3      naive
118  AAA1110757             FC_210427_AAA1110757_d3      naive
119  AAA1110757             FC_210428_AAA1110757_d4      naive
120  AAA1110757        FC_210430_AAA1110757_d_cable      naive
121  BAA1100520        FC_211004_BAA1100520_hairpin      naive
122  BAA1100521        FC_211004_BAA1100521_hairpin      naive
123  BAA1100522        FC_211007_BAA1100522_hairpin      naive
124  BAA1100523        FC_211007_BAA1100523_hairpin      naive
125   BAA110516         FC_211011_BAA110516_hairpin      naive
126   BAA110516         FC_211018_BAA110516_hairpin      naive
127   BAA110516         FC_211019_BAA110516_hairpin      naive
128   BAA110516         FC_211020_BAA110516_hairpin      naive
129   BAA110516         FC_211021_BAA110516_hairpin      naive
130   BAA110516         FC_211022_BAA110516_hairpin      naive
131   BAA110516         FC_211027_BAA110516_hairpin      naive
132   BAA110516         FC_211028_BAA110516_hairpin      naive
133   BAA110516         FC_211101_BAA110516_hairpin      naive
134   BAA110517         FC_211011_BAA110517_hairpin      naive
135   BAA110517         FC_211125_BAA110517_hairpin      naive
136   BAA110517         FC_211126_BAA110517_hairpin      naive
137   BAA110517         FC_211130_BAA110517_hairpin      naive
138   BAA110517         FC_211209_BAA110517_hairpin      naive
139   BAA110517         FC_211210_BAA110517_hairpin      naive
140   BAA110517         FC_211213_BAA110517_hairpin      naive
141   BAA110517         FC_211214_BAA110517_hairpin      naive
142   BAA110517         FC_211215_BAA110517_hairpin      naive
143   BAA110517         FC_211216_BAA110517_hairpin      naive
144   BAA110517         FC_211217_BAA110517_hairpin      naive
145   BAA110517         FC_211218_BAA110517_hairpin      naive
146   BAA110517         FC_220113_BAA110517_hairpin      naive
147   BAA110517         FC_220114_BAA110517_hairpin      naive
148   BAA110517         FC_220117_BAA110517_hairpin      naive
149   BAA110517         FC_220119_BAA110517_hairpin      naive
150   BAA110517         FC_220120_BAA110517_hairpin  implanted
151   BAA110518         FC_211125_BAA110518_hairpin      naive
152   BAA110518         FC_211126_BAA110518_hairpin      naive
153   BAA110518         FC_211130_BAA110518_hairpin      naive
154   BAA110522         FC_211015_BAA110522_hairpin      naive
155   BAA110522         FC_211018_BAA110522_hairpin      naive
156   BAA110522         FC_211019_BAA110522_hairpin      naive
157   BAA110522         FC_211020_BAA110522_hairpin      naive
158   BAA110522         FC_211021_BAA110522_hairpin      naive
159   BAA110523         FC_211015_BAA110523_hairpin      naive
160   BAA110523         FC_211018_BAA110523_hairpin      naive
161   BAA110523         FC_211019_BAA110523_hairpin      naive
162   BAA110523         FC_211020_BAA110523_hairpin      naive
163   BAA110523         FC_211021_BAA110523_hairpin      naive
164   BAA110618         FC_211130_BAA110618_hairpin      naive
165   BAA110618         FC_211201_BAA110618_hairpin      naive
166   BAA110618         FC_211203_BAA110618_hairpin      naive
167   BAA110619         FC_211130_BAA110619_hairpin      naive
168   BAA110619         FC_211201_BAA110619_hairpin      naive
169   BAA110619         FC_211203_BAA110619_hairpin      naive
170   BAA110620         FC_211130_BAA110620_hairpin      naive
171   BAA110620         FC_211201_BAA110620_hairpin      naive
172   BAA110620         FC_211203_BAA110620_hairpin      naive
173  BAA1110279                FC_210802_BAA1110279      naive
174  BAA1110279    FC_210802_BAA1110279_training_d0      naive
175  BAA1110279    FC_210803_BAA1110279_training_d1      naive
176  BAA1110279    FC_210804_BAA1110279_training_d2      naive
177  BAA1110279    FC_210810_BAA1110279_training_d3      naive
178  BAA1110279        FC_210831_BAA1110279_hairpin      naive
179  BAA1110279        FC_210903_BAA1110279_hairpin      naive
180  BAA1110279        FC_210910_BAA1110279_hairpin  implanted
181  BAA1110279        FC_210911_BAA1110279_hairpin  implanted
182  BAA1110279        FC_210913_BAA1110279_hairpin  implanted
183  BAA1110279        FC_210914_BAA1110279_hairpin  implanted
184  BAA1110279        FC_210915_BAA1110279_hairpin  implanted
185  BAA1110279        FC_210916_BAA1110279_hairpin  implanted
186  BAA1110279        FC_210917_BAA1110279_hairpin  implanted
187  BAA1110280    FC_210802_BAA1110280_training_d0      naive
188  BAA1110280    FC_210803_BAA1110280_training_d1      naive
189  BAA1110280    FC_210804_BAA1110280_training_d2      naive
190  BAA1110280    FC_210806_BAA1110280_training_d2      naive
191  BAA1110280    FC_210809_BAA1110280_training_d4      naive
192  BAA1110281    FC_210802_BAA1110281_training_d0      naive
193  BAA1110281    FC_210803_BAA1110281_training_d1      naive
194  BAA1110281    FC_210804_BAA1110281_training_d2      naive
195  BAA1110281    FC_210806_BAA1110281_training_d3      naive
196  BAA1110281    FC_210809_BAA1110281_training_d4      naive
197  BAA1110281    FC_210810_BAA1110281_training_d5      naive
198  BAA1110281    FC_210815_BAA1110281_training_d6  implanted
199  BAA1110281      FC_210816_BAA1110281_openarena  implanted
200  BAA1110281      FC_210817_BAA1110281_openarena  implanted
201  BAA1110281      FC_210818_BAA1110281_openarena  implanted
202  BAA1110281        FC_210820_BAA1110281_hairpin  implanted
203  BAA1110281      FC_210820_BAA1110281_openarena  implanted
204  BAA1110281        FC_210821_BAA1110281_hairpin  implanted
205  BAA1110281        FC_210829_BAA1110281_hairpin  implanted
206  BAA1110281      FC_210829_BAA1110281_openarena  implanted
207  BAA1110281        FC_210830_BAA1110281_hairpin  implanted
208  BAA1110281      FC_210830_BAA1110281_openarena  implanted
209  BAA1110281        FC_210831_BAA1110281_hairpin  implanted
210  BAA1110281      FC_210831_BAA1110281_openarena  implanted
211  BAA1110281        FC_210901_BAA1110281_hairpin  implanted
212  BAA1110281      FC_210901_BAA1110281_openarena  implanted
213  BAA1110281        FC_210906_BAA1110281_hairpin  implanted
214  BAA1110281        FC_210914_BAA1110281_hairpin  implanted
215  BAA1110281        FC_210915_BAA1110281_hairpin  implanted
216  BAA1110281        FC_210916_BAA1110281_hairpin  implanted
217  BAA1110281        FC_210917_BAA1110281_hairpin  implanted
218  BAA1110282    FC_210802_BAA1110282_training_d0      naive
219  BAA1110282    FC_210803_BAA1110282_training_d1      naive
220  BAA1110282    FC_210804_BAA1110282_training_d2      naive
221  BAA1110282    FC_210813_BAA1110282_training_d3      naive
